"","category","subcategory","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count","resolution"
"hsa05222","Human Diseases","Cancer: specific types","hsa05222","Small cell lung cancer","4/201","92/8773",0.159937402965353,0.159937402965353,0.82227942088535,"1870/3915/8503/5743",4,1
"hsa04970","Organismal Systems","Digestive system","hsa04970","Salivary secretion","4/201","93/8773",0.164339278916724,0.164339278916724,0.82227942088535,"280/493/5567/6548",4,1
"hsa002301","Metabolism","Nucleotide metabolism","hsa00230","Purine metabolism","5/201","128/8773",0.170172367993846,0.170172367993846,0.82227942088535,"205/26289/2987/29922/5142",5,1
"hsa05020","Human Diseases","Neurodegenerative disease","hsa05020","Prion disease","9/201","272/8773",0.172155330219758,0.172155330219758,0.82227942088535,"3310/3915/4720/4725/8503/5567/5686/5690/6390",9,1
"hsa049261","Organismal Systems","Endocrine system","hsa04926","Relaxin signaling pathway","5/201","129/8773",0.173981704256739,0.173981704256739,0.82227942088535,"2782/4893/8503/5567/6464",5,1
"hsa04710","Organismal Systems","Environmental adaptation","hsa04710","Circadian rhythm","2/201","34/8773",0.182560054977444,0.182560054977444,0.82227942088535,"8863/6097",2,1
"hsa05231","Human Diseases","Cancer: overview","hsa05231","Choline metabolism in cancer","4/201","98/8773",0.186977505331004,0.186977505331004,0.82227942088535,"4893/8503/8394/126969",4,1
"hsa00970","Genetic Information Processing","Translation","hsa00970","Aminoacyl-tRNA biosynthesis","3/201","66/8773",0.192267574750301,0.192267574750301,0.82227942088535,"55699/6301/10352",3,1
"hsa04061","Environmental Information Processing","Signaling molecules and interaction","hsa04061","Viral protein interaction with cytokine and cytokine receptor","4/201","100/8773",0.196304093246802,0.196304093246802,0.82227942088535,"1435/3570/6375/6846",4,1
"hsa04210","Cellular Processes","Cell growth and death","hsa04210","Apoptosis","5/201","135/8773",0.197501555572331,0.197501555572331,0.82227942088535,"1677/356/4893/4914/8503",5,1
"hsa04910","Organismal Systems","Endocrine system","hsa04910","Insulin signaling pathway","5/201","137/8773",0.205577611110444,0.205577611110444,0.82227942088535,"8569/4893/8503/5567/6464",5,1
"hsa05135","Human Diseases","Infectious disease: bacterial","hsa05135","Yersinia infection","5/201","137/8773",0.205577611110444,0.205577611110444,0.82227942088535,"10092/2212/8503/8394/10451",5,1
"hsa012501","Metabolism","Global and overview maps","hsa01250","Biosynthesis of nucleotide sugars","2/201","37/8773",0.207651845686694,0.207651845686694,0.82227942088535,"2582/6675",2,1
"hsa05216","Human Diseases","Cancer: specific types","hsa05216","Thyroid cancer","2/201","37/8773",0.207651845686694,0.207651845686694,0.82227942088535,"4893/4914",2,1
"hsa049151","Organismal Systems","Endocrine system","hsa04915","Estrogen signaling pathway","5/201","138/8773",0.209656702503061,0.209656702503061,0.82227942088535,"3310/4893/8503/5567/6464",5,1
"hsa043711","Environmental Information Processing","Signal transduction","hsa04371","Apelin signaling pathway","5/201","139/8773",0.21376220545633,0.21376220545633,0.82227942088535,"2782/4209/4893/5567/6548",5,1
"hsa04917","Organismal Systems","Endocrine system","hsa04917","Prolactin signaling pathway","3/201","70/8773",0.215970917997425,0.215970917997425,0.82227942088535,"4893/8503/6464",3,1
"hsa05230","Human Diseases","Cancer: overview","hsa05230","Central carbon metabolism in cancer","3/201","70/8773",0.215970917997425,0.215970917997425,0.82227942088535,"4893/4914/8503",3,1
"hsa04380","Organismal Systems","Development and regeneration","hsa04380","Osteoclast differentiation","5/201","141/8773",0.222049534061588,0.222049534061588,0.82227942088535,"1435/2212/2213/2215/8503",5,1
"hsa05218","Human Diseases","Cancer: specific types","hsa05218","Melanoma","3/201","72/8773",0.228047226376354,0.228047226376354,0.82227942088535,"1870/4893/8503",3,1
"hsa05223","Human Diseases","Cancer: specific types","hsa05223","Non-small cell lung cancer","3/201","72/8773",0.228047226376354,0.228047226376354,0.82227942088535,"1870/4893/8503",3,1
"hsa05152","Human Diseases","Infectious disease: bacterial","hsa05152","Tuberculosis","6/201","180/8773",0.231368317356072,0.231368317356072,0.82227942088535,"533/8915/2212/2213/2215/4802",6,1
"hsa01524","Human Diseases","Drug resistance: antineoplastic","hsa01524","Platinum drug resistance","3/201","73/8773",0.23413343317101,0.23413343317101,0.82227942088535,"356/4259/8503",3,1
"hsa03013","Genetic Information Processing","Translation","hsa03013","Nucleocytoplasmic transport","4/201","108/8773",0.234920738529296,0.234920738529296,0.82227942088535,"9670/55705/23633/55746",4,1
"hsa04066","Environmental Information Processing","Signal transduction","hsa04066","HIF-1 signaling pathway","4/201","108/8773",0.234920738529296,0.234920738529296,0.82227942088535,"405/3570/8569/8503",4,1
"hsa05219","Human Diseases","Cancer: specific types","hsa05219","Bladder cancer","2/201","41/8773",0.241596306242047,0.241596306242047,0.82227942088535,"1870/4893",2,1
"hsa05224","Human Diseases","Cancer: specific types","hsa05224","Breast cancer","5/201","147/8773",0.247469280143353,0.247469280143353,0.82227942088535,"1855/1870/4893/8503/6464",5,1
"hsa05208","Human Diseases","Cancer: overview","hsa05208","Chemical carcinogenesis - reactive oxygen species","7/201","223/8773",0.250606760382136,0.250606760382136,0.82227942088535,"405/4259/4720/4725/4893/8503/6390",7,1
"hsa04072","Environmental Information Processing","Signal transduction","hsa04072","Phospholipase D signaling pathway","5/201","148/8773",0.25177950496675,0.25177950496675,0.82227942088535,"2205/4893/8503/8394/6464",5,1
"hsa047231","Organismal Systems","Nervous system","hsa04723","Retrograde endocannabinoid signaling","5/201","148/8773",0.25177950496675,0.25177950496675,0.82227942088535,"2782/4720/4725/5567/5743",5,1
"hsa05226","Human Diseases","Cancer: specific types","hsa05226","Gastric cancer","5/201","149/8773",0.256108789173988,0.256108789173988,0.82227942088535,"1855/1870/4893/8503/6464",5,1
"hsa00071","Metabolism","Lipid metabolism","hsa00071","Fatty acid degradation","2/201","43/8773",0.25867450548654,0.25867450548654,0.82227942088535,"223/1376",2,1
