HGNC_gene,h5_sample_frequency,biotype,gene_length,exon_count,exon_length_total,unique_exon_count,unique_exon_length_total,feature
ABHD6,18451,gene with protein product,58162.0,39.0,7586.0,22.0,4406.0,protein coding
ABHD8,18241,gene with protein product,18106.0,10.0,3167.0,10.0,3167.0,protein coding
ABHD10,19037,gene with protein product,14359.0,20.0,6358.0,17.0,5924.0,protein coding
ABHD11,18954,gene with protein product,2759.0,61.0,13306.0,40.0,8538.0,protein coding
ABHD12,19234,gene with protein product,96094.0,220.0,26384.0,68.0,12293.0,protein coding
ABHD12B,9837,gene with protein product,32918.0,73.0,11698.0,36.0,7530.0,protein coding
ABHD13,19075,gene with protein product,15852.0,2.0,5313.0,2.0,5313.0,protein coding
ABHD14A,18867,gene with protein product,9771.0,19.0,4232.0,14.0,3364.0,protein coding
ABHD14B,19033,gene with protein product,14900.0,32.0,12619.0,23.0,10186.0,protein coding
ABHD15,18518,gene with protein product,6491.0,2.0,3492.0,2.0,3492.0,protein coding
ABHD16A,17405,gene with protein product,16402.0,150.0,17548.0,68.0,10490.0,protein coding
ABHD16B,3112,gene with protein product,1491.0,1.0,1491.0,1.0,1491.0,protein coding
ABHD17A,19116,gene with protein product,8687.0,37.0,18687.0,23.0,14271.0,protein coding
ABHD17B,18886,gene with protein product,48742.0,9.0,4377.0,7.0,3727.0,protein coding
ABHD17C,17405,gene with protein product,75938.0,16.0,8021.0,15.0,7841.0,protein coding
ABHD18,18766,gene with protein product,74639.0,66.0,17533.0,37.0,13925.0,protein coding
ABI1,19370,gene with protein product,114495.0,123.0,39212.0,27.0,11745.0,protein coding
ABI2,19288,gene with protein product,119449.0,165.0,60976.0,79.0,48571.0,protein coding
ABI3,17756,gene with protein product,12815.0,24.0,5023.0,15.0,3863.0,protein coding
ABI3BP,13211,gene with protein product,244360.0,494.0,49452.0,143.0,20159.0,protein coding
ABITRAM,18575,gene with protein product,16345.0,17.0,3350.0,12.0,2891.0,protein coding
ABL1,18988,gene with protein product,174633.0,24.0,12829.0,14.0,7523.0,protein coding
ABL2,19222,gene with protein product,130355.0,118.0,51826.0,44.0,36623.0,protein coding
ABLIM1,19115,gene with protein product,336950.0,213.0,44713.0,58.0,25466.0,protein coding
ABLIM2,15583,gene with protein product,193523.0,234.0,39930.0,60.0,19348.0,protein coding
ABLIM3,14575,gene with protein product,119060.0,153.0,26753.0,63.0,16263.0,protein coding
ABO,13172,gene with protein product,42747.0,36.0,11943.0,26.0,11372.0,protein coding
ABR,18996,gene with protein product,226220.0,266.0,46460.0,112.0,25965.0,protein coding
ABRA,6832,gene with protein product,10762.0,2.0,2754.0,2.0,2754.0,protein coding
ABRACL,19211,gene with protein product,14558.0,5.0,1238.0,5.0,1238.0,protein coding
ABRAXAS1,18739,gene with protein product,63832.0,56.0,15206.0,34.0,13148.0,protein coding
ABRAXAS2,18858,gene with protein product,34849.0,9.0,2955.0,9.0,2955.0,protein coding
ABT1,19138,gene with protein product,3787.0,3.0,2943.0,3.0,2943.0,protein coding
ABTB1,18989,gene with protein product,7992.0,103.0,20501.0,59.0,15479.0,protein coding
ABTB2,16175,gene with protein product,207024.0,21.0,5471.0,21.0,5471.0,protein coding
ABTB3,16839,gene with protein product,341222.0,78.0,20146.0,29.0,11656.0,protein coding
ACAA1,19213,gene with protein product,34114.0,126.0,23594.0,63.0,16964.0,protein coding
ACAA2,19214,gene with protein product,31790.0,45.0,10177.0,23.0,7153.0,protein coding
ACACA,18521,gene with protein product,321845.0,365.0,61068.0,153.0,31120.0,protein coding
ACACB,18187,gene with protein product,151640.0,211.0,38581.0,116.0,25399.0,protein coding
ACAD8,18913,gene with protein product,12308.0,102.0,24051.0,54.0,17741.0,protein coding
ACAD9,18934,gene with protein product,44408.0,428.0,73163.0,103.0,33128.0,protein coding
ACAD10,18614,gene with protein product,71055.0,168.0,32695.0,90.0,20675.0,protein coding
ACAD11,16331,gene with protein product,101945.0,111.0,18787.0,58.0,12099.0,protein coding
ACADL,9468,gene with protein product,38322.0,30.0,8692.0,28.0,8380.0,protein coding
ACADM,19261,gene with protein product,63145.0,589.0,160280.0,108.0,47741.0,protein coding
ACADS,18674,gene with protein product,14235.0,23.0,4399.0,16.0,3511.0,protein coding
ACADSB,18940,gene with protein product,49312.0,27.0,8543.0,20.0,7665.0,protein coding
ACADVL,19347,gene with protein product,8142.0,256.0,33884.0,122.0,20224.0,protein coding
ACAN,9786,gene with protein product,71918.0,103.0,46651.0,31.0,13861.0,protein coding
ACAP1,18864,gene with protein product,14949.0,66.0,12833.0,52.0,11577.0,protein coding
ACAP2,19330,gene with protein product,168300.0,122.0,20656.0,66.0,14738.0,protein coding
ACAP3,18833,gene with protein product,17220.0,124.0,21846.0,74.0,16622.0,protein coding
ACAT1,19254,gene with protein product,30909.0,169.0,23239.0,66.0,11834.0,protein coding
ACAT2,19060,gene with protein product,17068.0,18.0,4017.0,18.0,4017.0,protein coding
ACBD3,19216,gene with protein product,42063.0,10.0,3878.0,10.0,3878.0,protein coding
ACBD4,18432,gene with protein product,11582.0,123.0,20858.0,57.0,13496.0,protein coding
ACBD5,19078,gene with protein product,74912.0,349.0,94759.0,84.0,36288.0,protein coding
ACBD6,19072,gene with protein product,233302.0,60.0,19075.0,31.0,10232.0,protein coding
ACBD7,10443,gene with protein product,13302.0,8.0,3844.0,8.0,3844.0,protein coding
ACCS,18030,gene with protein product,18313.0,72.0,13712.0,54.0,11767.0,protein coding
ACCSL,4004,gene with protein product,11997.0,28.0,3626.0,28.0,3626.0,protein coding
ACD,18879,gene with protein product,3299.0,341.0,61388.0,111.0,29817.0,protein coding
ACE,16108,gene with protein product,21320.0,182.0,33609.0,89.0,19497.0,protein coding
ACE2,8614,gene with protein product,112671.0,166.0,45226.0,35.0,12488.0,protein coding
ACER1,9926,gene with protein product,27471.0,6.0,1428.0,6.0,1428.0,protein coding
ACER2,12644,gene with protein product,43497.0,6.0,2773.0,6.0,2773.0,protein coding
ACER3,19098,gene with protein product,165939.0,314.0,120470.0,99.0,76254.0,protein coding
ACHE,14395,gene with protein product,6981.0,54.0,24778.0,32.0,14201.0,protein coding
ACIN1,19314,gene with protein product,37051.0,189.0,42379.0,76.0,19974.0,protein coding
ACKR1,10864,gene with protein product,1626.0,5.0,3584.0,5.0,3584.0,protein coding
ACKR2,12583,gene with protein product,83223.0,38.0,12651.0,31.0,11483.0,protein coding
ACKR3,15414,gene with protein product,14568.0,4.0,2728.0,4.0,2728.0,protein coding
ACKR4,13464,gene with protein product,21698.0,5.0,2734.0,5.0,2734.0,protein coding
ACLY,19224,gene with protein product,63626.0,158.0,22539.0,54.0,9866.0,protein coding
ACMSD,6936,gene with protein product,63419.0,31.0,5023.0,23.0,3997.0,protein coding
ACO1,18937,gene with protein product,70167.0,65.0,14662.0,27.0,9506.0,protein coding
ACO2,19192,gene with protein product,81444.0,477.0,89218.0,97.0,27620.0,protein coding
ACOD1,5310,gene with protein product,10128.0,5.0,2147.0,5.0,2147.0,protein coding
ACOT1,11467,gene with protein product,6654.0,6.0,2957.0,5.0,2754.0,protein coding
ACOT2,18311,gene with protein product,8039.0,12.0,5151.0,11.0,4948.0,protein coding
ACOT4,16910,gene with protein product,3894.0,3.0,1465.0,3.0,1465.0,protein coding
ACOT6,5900,gene with protein product,8944.0,9.0,3244.0,8.0,2589.0,protein coding
ACOT7,18740,gene with protein product,129499.0,76.0,12720.0,26.0,5817.0,protein coding
ACOT8,18915,gene with protein product,15685.0,55.0,16308.0,38.0,11248.0,protein coding
ACOT9,19122,gene with protein product,65421.0,90.0,13693.0,47.0,9653.0,protein coding
ACOT11,16802,gene with protein product,96936.0,58.0,15293.0,39.0,13078.0,protein coding
ACOT12,6490,gene with protein product,64184.0,29.0,4130.0,25.0,3768.0,protein coding
ACOT13,19156,gene with protein product,38031.0,10.0,9165.0,9.0,8980.0,protein coding
ACOX1,19170,gene with protein product,37671.0,85.0,24507.0,52.0,14113.0,protein coding
ACOX2,14274,gene with protein product,32148.0,76.0,12095.0,54.0,8572.0,protein coding
ACOX3,18526,gene with protein product,74442.0,84.0,12044.0,44.0,6658.0,protein coding
ACOXL,12688,gene with protein product,386010.0,106.0,15152.0,41.0,7912.0,protein coding
ACP1,19309,gene with protein product,14144.0,62.0,10510.0,38.0,7384.0,protein coding
ACP2,18843,gene with protein product,9605.0,123.0,20373.0,47.0,10818.0,protein coding
ACP3,15212,gene with protein product,50934.0,56.0,9543.0,32.0,6835.0,protein coding
ACP4,3916,gene with protein product,4805.0,11.0,1342.0,11.0,1342.0,protein coding
ACP5,17644,gene with protein product,5341.0,160.0,45739.0,49.0,16849.0,protein coding
ACP6,18596,gene with protein product,40873.0,62.0,19774.0,38.0,17149.0,protein coding
ACP7,7429,gene with protein product,27581.0,42.0,7675.0,27.0,5766.0,protein coding
ACR,7949,gene with protein product,7144.0,14.0,3553.0,12.0,3065.0,protein coding
ACRBP,16109,gene with protein product,9359.0,47.0,8732.0,32.0,6564.0,protein coding
ACRV1,6036,gene with protein product,9353.0,18.0,4554.0,13.0,4022.0,protein coding
ACSBG1,13901,gene with protein product,78221.0,86.0,19122.0,56.0,13700.0,protein coding
ACSBG2,6071,gene with protein product,57848.0,139.0,23292.0,56.0,9640.0,protein coding
ACSF2,18451,gene with protein product,48688.0,153.0,21502.0,87.0,13223.0,protein coding
ACSF3,18944,gene with protein product,75747.0,114.0,37231.0,58.0,25299.0,protein coding
ACSL1,18955,gene with protein product,71224.0,309.0,50441.0,72.0,22568.0,protein coding
ACSL3,19269,gene with protein product,83698.0,460.0,155774.0,78.0,31266.0,protein coding
ACSL4,19106,gene with protein product,109160.0,194.0,64412.0,68.0,40654.0,protein coding
ACSL5,18598,gene with protein product,54264.0,119.0,18430.0,41.0,8393.0,protein coding
ACSL6,16600,gene with protein product,62271.0,504.0,93638.0,119.0,49568.0,protein coding
ACSM1,12479,gene with protein product,75656.0,61.0,9049.0,37.0,5789.0,protein coding
ACSM2A,6856,gene with protein product,36209.0,131.0,25414.0,63.0,16105.0,protein coding
ACSM2B,5915,gene with protein product,40202.0,146.0,26831.0,71.0,16683.0,protein coding
ACSM3,17467,gene with protein product,187339.0,87.0,16090.0,53.0,11362.0,protein coding
ACSM4,4352,gene with protein product,24648.0,16.0,3059.0,16.0,3059.0,protein coding
ACSM5,10236,gene with protein product,31803.0,37.0,7059.0,30.0,6088.0,protein coding
ACSM6,7686,gene with protein product,34730.0,30.0,5318.0,25.0,4640.0,protein coding
ACSS1,18905,gene with protein product,52751.0,44.0,16590.0,23.0,13789.0,protein coding
ACSS2,18846,gene with protein product,55817.0,153.0,24016.0,87.0,14305.0,protein coding
ACSS3,13494,gene with protein product,324797.0,62.0,25012.0,46.0,23128.0,protein coding
ACTA1,9287,gene with protein product,3740.0,20.0,5150.0,12.0,3612.0,protein coding
ACTA2,18441,gene with protein product,56266.0,41.0,10595.0,22.0,7995.0,protein coding
ACTB,19401,gene with protein product,37494.0,105.0,29676.0,63.0,19739.0,protein coding
ACTBL2,2887,gene with protein product,2794.0,1.0,2794.0,1.0,2794.0,protein coding
ACTC1,7361,gene with protein product,5483.0,33.0,7968.0,23.0,5778.0,protein coding
ACTG1,19397,gene with protein product,14435.0,153.0,46121.0,54.0,19844.0,protein coding
ACTG2,11931,gene with protein product,27552.0,55.0,10172.0,29.0,6186.0,protein coding
ACTL6A,19098,gene with protein product,25522.0,87.0,12241.0,48.0,8008.0,protein coding
ACTL6B,6016,gene with protein product,13352.0,40.0,5092.0,35.0,4596.0,protein coding
ACTL7A,1174,gene with protein product,1491.0,1.0,1491.0,1.0,1491.0,protein coding
ACTL7B,2585,gene with protein product,1399.0,1.0,1399.0,1.0,1399.0,protein coding
ACTL8,4818,gene with protein product,71731.0,5.0,3511.0,5.0,3511.0,protein coding
ACTL9,232,gene with protein product,1396.0,1.0,1396.0,1.0,1396.0,protein coding
ACTL10,14209,gene with protein product,1583.0,1.0,1583.0,1.0,1583.0,protein coding
ACTMAP,18073,gene with protein product,10698.0,57.0,12145.0,38.0,10237.0,protein coding
ACTN1,18977,gene with protein product,105313.0,685.0,128172.0,113.0,35114.0,protein coding
ACTN2,10957,gene with protein product,100491.0,346.0,95891.0,90.0,40457.0,protein coding
ACTN3,7236,gene with protein product,16940.0,47.0,6670.0,28.0,4270.0,protein coding
ACTN4,19250,gene with protein product,83941.0,129.0,24573.0,51.0,9990.0,protein coding
ACTR1A,19262,gene with protein product,40832.0,46.0,11842.0,32.0,10190.0,protein coding
ACTR1B,19196,gene with protein product,8106.0,20.0,4085.0,20.0,4085.0,protein coding
ACTR2,19382,gene with protein product,43466.0,27.0,7609.0,18.0,6421.0,protein coding
ACTR3,19385,gene with protein product,72534.0,48.0,17365.0,34.0,15877.0,protein coding
ACTR3B,18129,gene with protein product,95630.0,46.0,11333.0,31.0,9601.0,protein coding
ACTR3C,17673,gene with protein product,79810.0,35.0,9822.0,19.0,7807.0,protein coding
ACTR5,18390,gene with protein product,24061.0,9.0,2547.0,9.0,2547.0,protein coding
ACTR6,19082,gene with protein product,42744.0,99.0,14833.0,45.0,8388.0,protein coding
ACTR8,18824,gene with protein product,15087.0,44.0,8780.0,28.0,6441.0,protein coding
ACTR10,19234,gene with protein product,35557.0,113.0,15052.0,58.0,10020.0,protein coding
ACTRT1,1137,gene with protein product,1442.0,1.0,1442.0,1.0,1442.0,protein coding
ACTRT2,495,gene with protein product,1437.0,1.0,1437.0,1.0,1437.0,protein coding
ACTRT3,12822,gene with protein product,2641.0,2.0,1671.0,2.0,1671.0,protein coding
ACVR1,18748,gene with protein product,140080.0,233.0,66917.0,57.0,24700.0,protein coding
ACVR1B,18595,gene with protein product,45380.0,50.0,13089.0,25.0,8272.0,protein coding
ACVR1C,16063,gene with protein product,102098.0,33.0,13410.0,13.0,9743.0,protein coding
ACVR2A,18600,gene with protein product,86310.0,45.0,15660.0,28.0,13204.0,protein coding
ACVR2B,17888,gene with protein product,39253.0,31.0,18818.0,25.0,18030.0,protein coding
ACVRL1,14744,gene with protein product,16454.0,56.0,18811.0,24.0,10503.0,protein coding
ACY1,15915,gene with protein product,5858.0,242.0,31434.0,84.0,17148.0,protein coding
ACY3,13556,gene with protein product,8176.0,15.0,2304.0,12.0,1992.0,protein coding
ACYP1,18930,gene with protein product,16247.0,19.0,3829.0,14.0,3057.0,protein coding
ACYP2,19128,gene with protein product,334463.0,41.0,9638.0,26.0,7512.0,protein coding
ADA,18732,gene with protein product,67357.0,547.0,104194.0,123.0,50361.0,protein coding
ADA2,18712,gene with protein product,79446.0,221.0,87575.0,70.0,39016.0,protein coding
ADAD1,3032,gene with protein product,50837.0,55.0,8708.0,29.0,4549.0,protein coding
ADAD2,7686,gene with protein product,6031.0,54.0,12430.0,35.0,9314.0,protein coding
ADAL,18769,gene with protein product,23898.0,63.0,17658.0,29.0,13763.0,protein coding
ADAM2,3725,gene with protein product,94493.0,89.0,10643.0,37.0,4246.0,protein coding
ADAM7,4083,gene with protein product,86041.0,66.0,10012.0,30.0,5960.0,protein coding
ADAM8,18408,gene with protein product,14449.0,111.0,15135.0,62.0,10106.0,protein coding
ADAM9,18808,gene with protein product,108692.0,526.0,116586.0,90.0,39199.0,protein coding
ADAM10,19283,gene with protein product,160983.0,85.0,27325.0,65.0,24494.0,protein coding
ADAM11,10276,gene with protein product,22859.0,112.0,14864.0,62.0,10490.0,protein coding
ADAM12,16441,gene with protein product,376097.0,77.0,21142.0,39.0,16226.0,protein coding
ADAM15,18900,gene with protein product,12210.0,404.0,54678.0,104.0,17241.0,protein coding
ADAM17,19179,gene with protein product,68247.0,379.0,92394.0,100.0,48380.0,protein coding
ADAM18,4442,gene with protein product,145577.0,84.0,10745.0,50.0,7116.0,protein coding
ADAM19,18297,gene with protein product,180242.0,82.0,15169.0,45.0,10573.0,protein coding
ADAM20,8301,gene with protein product,12658.0,4.0,5575.0,4.0,5575.0,protein coding
ADAM21,5922,gene with protein product,43321.0,4.0,5808.0,4.0,5808.0,protein coding
ADAM22,16435,gene with protein product,268747.0,301.0,51256.0,82.0,18943.0,protein coding
ADAM23,14650,gene with protein product,177596.0,55.0,9508.0,31.0,7251.0,protein coding
ADAM28,18013,gene with protein product,64946.0,130.0,25586.0,62.0,13574.0,protein coding
ADAM29,7049,gene with protein product,148513.0,55.0,25622.0,24.0,10918.0,protein coding
ADAM30,1945,gene with protein product,2983.0,1.0,2983.0,1.0,2983.0,protein coding
ADAM32,12116,gene with protein product,177928.0,118.0,18552.0,63.0,13435.0,protein coding
ADAM33,10273,gene with protein product,14282.0,78.0,15949.0,39.0,11413.0,protein coding
ADAMDEC1,10841,gene with protein product,21729.0,44.0,6946.0,33.0,5102.0,protein coding
ADAMTS1,15989,gene with protein product,9655.0,77.0,42213.0,32.0,23016.0,protein coding
ADAMTS2,13710,gene with protein product,234609.0,80.0,19352.0,33.0,11820.0,protein coding
ADAMTS3,11037,gene with protein product,288253.0,32.0,8111.0,32.0,8111.0,protein coding
ADAMTS4,15498,gene with protein product,14753.0,13.0,12085.0,13.0,12085.0,protein coding
ADAMTS5,12701,gene with protein product,49167.0,17.0,13214.0,15.0,12913.0,protein coding
ADAMTS6,17310,gene with protein product,333183.0,107.0,23316.0,66.0,16928.0,protein coding
ADAMTS7,12174,gene with protein product,52259.0,63.0,15310.0,48.0,12941.0,protein coding
ADAMTS8,9600,gene with protein product,23687.0,13.0,5878.0,13.0,5878.0,protein coding
ADAMTS9,12368,gene with protein product,172347.0,173.0,32987.0,88.0,20528.0,protein coding
ADAMTS10,16814,gene with protein product,30496.0,151.0,24623.0,80.0,13892.0,protein coding
ADAMTS12,10597,gene with protein product,368485.0,73.0,18436.0,49.0,13345.0,protein coding
ADAMTS13,14067,gene with protein product,45045.0,181.0,28446.0,71.0,12463.0,protein coding
ADAMTS14,10976,gene with protein product,89936.0,44.0,10826.0,24.0,5796.0,protein coding
ADAMTS15,9960,gene with protein product,28001.0,8.0,6006.0,8.0,6006.0,protein coding
ADAMTS16,8551,gene with protein product,179975.0,56.0,11075.0,46.0,9332.0,protein coding
ADAMTS17,15175,gene with protein product,370569.0,79.0,16495.0,54.0,12800.0,protein coding
ADAMTS18,8975,gene with protein product,187222.0,50.0,11492.0,46.0,10341.0,protein coding
ADAMTS19,7382,gene with protein product,278403.0,37.0,7199.0,35.0,6949.0,protein coding
ADAMTS20,5346,gene with protein product,198338.0,79.0,13771.0,43.0,7995.0,protein coding
ADAMTSL1,10252,gene with protein product,1004388.0,158.0,40922.0,76.0,27670.0,protein coding
ADAMTSL2,11878,gene with protein product,43356.0,76.0,15938.0,24.0,5969.0,protein coding
ADAMTSL3,13324,gene with protein product,385755.0,111.0,23828.0,70.0,17283.0,protein coding
ADAMTSL4,17028,gene with protein product,11569.0,117.0,26861.0,37.0,11066.0,protein coding
ADAMTSL5,15165,gene with protein product,8583.0,80.0,11518.0,43.0,7734.0,protein coding
ADAP1,17772,gene with protein product,57508.0,139.0,25355.0,53.0,13126.0,protein coding
ADAP2,17987,gene with protein product,52979.0,69.0,12081.0,42.0,9075.0,protein coding
ADAR,19360,gene with protein product,46319.0,394.0,178478.0,93.0,62628.0,protein coding
ADARB1,18640,gene with protein product,152708.0,144.0,49937.0,46.0,17751.0,protein coding
ADARB2,12596,gene with protein product,560213.0,28.0,14779.0,25.0,14242.0,protein coding
ADAT1,18881,gene with protein product,26433.0,61.0,14271.0,39.0,11494.0,protein coding
ADAT2,18480,gene with protein product,27864.0,14.0,13419.0,10.0,7413.0,protein coding
ADAT3,13286,gene with protein product,8049.0,4.0,2582.0,4.0,2582.0,protein coding
ADCK1,17930,gene with protein product,134906.0,55.0,13280.0,31.0,9641.0,protein coding
ADCK2,18662,gene with protein product,23317.0,33.0,7766.0,17.0,5621.0,protein coding
ADCK5,18238,gene with protein product,20142.0,64.0,8055.0,51.0,6556.0,protein coding
ADCY1,13217,gene with protein product,148977.0,49.0,17966.0,36.0,16184.0,protein coding
ADCY2,12464,gene with protein product,433944.0,56.0,21417.0,48.0,20418.0,protein coding
ADCY3,18445,gene with protein product,101069.0,126.0,24766.0,60.0,14274.0,protein coding
ADCY4,16148,gene with protein product,16745.0,196.0,34419.0,90.0,21074.0,protein coding
ADCY5,10741,gene with protein product,166795.0,251.0,51149.0,72.0,27460.0,protein coding
ADCY6,14578,gene with protein product,22896.0,97.0,27538.0,55.0,21414.0,protein coding
ADCY7,18756,gene with protein product,71999.0,189.0,37862.0,79.0,19719.0,protein coding
